Page,Family,EnglishCommon,LatinSpecies,Length,Voice,Notes,,
307,"Trogonidae, Alcedinidae",Green Kingfisher,Chloroceryle americana,8.75,"Common call a dry, quiet, staccato clicking like tapping pebbles together, usually single or double, given from a perch. In flight a short harsh descending buzz ""tsheeersh"". Other calls during interactions include a high, squealing ""tseelp"" and grating sounds.",,,
309,Picidae,Lewis's Woodpecker,Melanerpes lewis,10.75,"Contact call a weak, sneezy ""teef"" or ""kitsif""; also a high, squeaky, descending ""rik rik rik"". Dry, rattling chase series reminiscent of European Starling. Song a series of short, harsh ""chr"" calls. Drum short, weak, medium speed; followed by several individual taps.",,,
309,Picidae,Acorn Woodpecker,Melanerpes formicivorus,9,"Very vocal. Raucous laughing; most common call a nasal ""wheka wheka…"" or ""RACK-up RACK-up…"". Also nasal, vibrant, trilled ""ddddrri-drr"" or high, burry ""ddrreeerr""; nasal ""waayk, waaayk"" or rising ""quaay"". Close contact a high squeaky ""Ik a Ik a Ik a"". Drum short, slow, accelerating, variable.",,,
310,Picidae,Red-headed Woodpecker,Melanerpes erythrocephalus,9.25,"Contact call a wheezy ""queeah"" or ""queerp""; weaker and less vibrant than Red-bellied, variable. In flight a low, harsh ""chug"" like Red-bellied. Close contact call a gentle, dry rattle ""krrrrrr"". Drum short, weak, fairly slow.",,,
310,Picidae,Gila Woodpecker,Melanerpes uropygialis,9.25,"Contact call a loud, harsh ""quirrr"" slightly rising like Red-bellied. Also raucous, laughing, well-spaced ""geet geet geet geet geet"" and high, nasal, squeaky ""kee-u kee-u kee-u…"" higher and clearer than comparable calls of Red-bellied and Golden-fronted. Drum long and steady.",,,
311,Picidae,Golden-fronted Woodpecker,Melanerpes aurifrons,9.5,"Contact call a loud, harsh, level ""kirrr""; all calls harder and harsher than Red-bellied and Gila. Also slow, strained ""kih-wrr kih-wrr…""; ""tig tig…"" calls harder than Red-bellied; a grating ""krrr krrr…"". Drum medium speed, short, much slower than Ladder-backed.",,,
311,Picidae,Red-bellied Woodpecker,Melanerpes carolinus,9.25,"Contact call a loud, harsh, but rich ""quirrr"" slightly rising; in flight a single, low ""chug"". Also a harsh ""chig-chig"" , a series of ""chig"" notes delivered slowly, or a rapid, chuckling series descending. Drum medium speed and length with steady tempo.",,,
312,Picidae,Williamson's Sapsucker,Sphyrapicus thyroideus,9,"Contact call a strong, clear ""queeah""; less mewing than other sapsuckers. Initial burst of drumming faster than other sapsuckers, followed by loud taps with fading vibration; pauses between these latter bursts longer than other sapsuckers.",,,
312,Picidae,Red-breasted Sapsucker,Sphyrapicus ruber,8.5,"All calls and drum similar to Yellow-bellid and Red-naped. Contact call may average lower and hoarser than Yellow-bellied, but variable. All sapsuckers are quiet in winter.",,,
313,Picidae,Red-naped Sapsucker,Sphyrapicus nuchalis,8.5,Essentially identical to other sapsuckers.,,,
313,Picidae,Yellow-bellied Sapsucker,Sphyrapicus varius,8.5,"Contact call a nasal squealing or mewing ""neeah""; on territory an emphatic ""QUEEah"". Close contact call ""wik-a-wik-a…"" series, hoarse and uneven. In flight sometimes gives nasal ""geert"". Drum a burst of about five rapid taps followed by gradual slowing with occasional double taps.",,,
314,Picidae,Nuttall's Woodpecker,Picoides nuttallii,7.5,"Contact call a sharp, rising, two- or three-note ""pitik"" (occasionally a single-note ""pik""); quality like Hairy. Rattle call level and steady ""pitikikik…"". Drum steady, medium speed, relatively long; noticeably faster than Downy.",,,
314,Picidae,Ladder-backed Woodpecker,Picoides scalaris,7.25,"Contact call a sharp ""pwik"" slightly lower-pitched and more musical than Downy. Rattle call always ends with low, grating notes ""kweekweekweekwekweechrchr"". Drum very rapid buzzing, medium length (about 1 second long); shorter than Nuttall's, much faster than Downy.",,,
315,Picidae,Arizona Woodpecker,Picoides arizonae,7.5,"Contact call a sharp ""keech"" similar to Hairy but higher, distinctly long and squeaky. Rattle call of grating notes, descending ""keechrchrchrchr"". Drum long, 3-4 per minute.",,,
315,Picidae,White-headed Woodpecker,Picoides albolarvatus,9.25,"Contact call a sharp, two- or three-note ""pitik"" very similar to Nuttall's but higher, more metallic and usually descending. Rattle call an extended contact call ""peekikikikikkikik"". Drum medium speed, fairly long, with increasing or decreasing tempo.",,,
316,Picidae,Downy Woodpecker,Picoides pubescens,6.75,"Contact call a short, gentle, flat ""pik"". Rattle call slow, similar in quality to ""pik"" note; beginning slow and squeaky, ending lower, faster; varies from ""kikikikiki…"" to slow, squeaky ""twi twi twi…""; variable ""chik"" or ""kweek"" notes in spring. Rattle call of Pacific and Interior West birds often level or lacks low ending: a shorter, cut-off ""kikikikikikikik"". Drum almost slow enough to count, short; usually several drums in fairly rapid sequence (9-16 per minute, only a few seconds pause between drums).",,,
317,Picidae,Hairy Woodpecker,Picoides villosus,9.25,"Contact call a sharp, strong ""peek"" or ""peech"", sharper, louder, and higher-pitched than Downy. When agitated a stuttering ""peek rr krr"". Rattle call sharp and high like contact call: a rapid series of notes on one pitch; variable high ""kweek…"" notes in spring. Drum very fast buzzing, fairly long, 4-9 per minute.",,,
318,Picidae,Amercan Three-toed Woodpecker,Picoides dorsalis,8.75,"Contact call a relatively low, flat ""pwik""; similar to Downy but deeper, more hollow or wooden; weaker than Black-backed. Rattle call short, shrill ""kli kli kli kli kli""; varied ""twiit twiit"", etc. Drum short, slow, speeding up and trailing off at end, 2 per minute; slower and shorter than Black-backed.",,,
319,Picidae,Black-backed Woodpecker,Picoides arcticus,9.5,"Contact call reminiscent of Hairy but much deeper, hollow, wooden. Rattle call a peculiar grating, then a rasping snarl. Apparently no ""wicka"" type notes as in other Picoides. Drum fairly long, slow but distinctly accelerating.",,,
319,Picidae,Red-cockaded Woodpecker,Picoides borealis,8.5,"Rather vocal in groups. Contact call a unique sharp, nasal, buzzy/squeaky ""shirrp"" or ""shrrit"". Rattle call infrequent ""shirrp-chrchrchrchr…"". Varied notes low and short to high clear ""wica wica…"". Drum infrequent and rather quiet.",,,
320,Picidae,Northern Flicker,Colaptes auratus,12.5,"Contact call a high, piercing, clear ""keew""; when flushed a soft, muffled ""bwirr"". Close contact a soft, lilting ""wik-a-wik-a-wik-a…"". Song a long, strong, relatively low-pitched series ""kwikwikwikwi…"" continued steadily for up to 15 seconds. Drum averages moderate to fast speed, but variable.",,,
321,Picidae,Gilded Flicker,Colaptes chrysoides,11,Essentially identical to Northern Flicker but calls may average slightly higher-pitched.,,,
322,Picidae,Pileated Woodpecker,Dryocopus pileatus,16.5,"Contact call single, loud, deep, resonant ""wek"" or ""kuk"" notes, often given in light. Main territorial call higher-pitched ""kuk kuk keekeekeekeekeekeekeekuk kuk"", like flickers but slower, with irregular rhythm and deeper, wilder sounds. Drum slow, powerful, accelerating and trailing off at end; short or up to three seconds long, only one or two per minute.",,,
324,Falconidae,Peregrine Falcon,Falco peregrinus,16,"Alarm a slow, scolding 'rehk rehk rehk…""; harsh, raucous, each note rising. In aggression a hard, mechanical ""wiSHEP koCHE koCHE koCHEcheche"". Juvenile call similar to adult.",,,
325,Falconidae,Gyrfalcon,Falco rusticolus,22,"Alarm a hoarse, nasal ""KYH KYHa KYHa…""; a deep, hoarse ""kwah kwah kwah…"" lower, gruffer, with more trumpeting quality than Peregrine. Junvenile begs with wailing call and gives hoarse series like adult.",,,
326,Falconidae,Prairie Falcon,Falco mexicanus,16,"Generally similar to Pregrine. Alarm an angry, harsh ""reekree-kree-kree…"" similar to Peregrine but higher; also a high, rising scream ""keeeee"" repeated.",,,
326,Falconidae,American Kestrel,Falco sparverius,9,"Common call a shrill, clear screaming ""li kli kli kli kli kli kli kli"" or ""killy killy killy"", higher and weaker than other raptors. Juvenile call similar to adult.",,,
327,Falconidae,Merlin,Falco columbarius,10,"Alarm call rapid, accelerating series of strident notes, rising then falling, with quality like Killdeer but harsher ""twi twit-witwititititititit""; female lower, slower, harsher than male; also single hard ""peek"" reminiscent of Black-head Grosbeak. Juvenile call similar to adult.",,,
328,Falconidae,Eurasian Kestrel,Falco tinnunculus,13.5,"Generally silent away from breeding grounds. Typical call a series of short squeals, similar to American Kestrel but slightly lower-pitched and each note single-syllabled ""kee-kwee-kwee…"".",,,
328,Falconidae,Eurasian Hobby,Falco subbuteo,12.7,"Generally silent away from breeding grounds. Typical calls a high strident ""kwee-kwee-kwee…"" series or a weaker ""kew-kew-kew…"".",,,
329,Falconidae,Aplomado Falcon,Falco femoralis,16,"Alarm a harsh series ""kek kek kek…"" faster and higher than Prairie or Peregrine; also a sharp chip; female gives plaintive wailing. Juvenile begs with high-pitched chittering.",,,
329,Falconidae,Crested Caracara,Caracara cheriway,23,"Usually silent; low, toneless, croaking ""grrrrk"" or more complex call of several syllables. Juvenile begs with hoarse or wheezy scream.",,,
330,"Psittacidae, Cacatuidae, Tsittaculidae",Sulphur-crested Cockatoo,Cacatua galerita,19.5,"Extremely loud, harsh, toneless.",,,
330,"Psittacidae, Cacatuidae, Tsittaculidae",Cockatiel,Nymphicus hollandicus,12.5,"Loud, piercing, clear whistles ""queeep"" or ""queeoo"".",,,
330,"Psittacidae, Cacatuidae, Tsittaculidae",Budgerigar,Melopsittacus undulatus,7,"High, dry, chattering warbles with squeaky and scratchy quality ""chirrup"".",,,
331,"Psittacidae, Cacatuidae, Tsittaculidae",Nanday Parakeet,Aratinga nenday,12,"Higher than Bue-crowned; a more screeching ""graad graad…"".",,,
331,"Psittacidae, Cacatuidae, Tsittaculidae",Rose-ringed Parakeet,Psittacular krameri,16,"Includes high, clear squeal ""keeew"" like Northern Flicker; in series when excited.",,,
331,"Psittacidae, Cacatuidae, Tsittaculidae",Monk Parakeet,Myiopsitta monachus,11.5,"A varied, throaty rattling ""graaa"" and higher rasping ""skveet""; both slightly rising.",,,
332,"Psittacidae, Cacatuidae, Tsittaculidae",Blue-crowned Parakeet,Thectocercus acuticaudatus,14.5,"A relatively low, hoarse, rapidly repeated ""reedy reedy reedy"".",,,
332,"Psittacidae, Cacatuidae, Tsittaculidae",Green Parakeet,Psittacara holochlorus,13,"A rather high, shrill, raucous chattering.",,,
332,"Psittacidae, Cacatuidae, Tsittaculidae",Mitred Parakeet,Psittacara mitratus,15,"A loud, harsh series and rising ""kreeep"".",,,
332,"Psittacidae, Cacatuidae, Tsittaculidae",Red-masked Parakeet,Psittacara erythrogenys,13.5,Less harsh than Mitred Parakeet.,,,
333,"Psittacidae, Cacatuidae, Tsittaculidae",Dusky-headed Parakeet,Aratinga weddellii,11,Rather nasal; less grating than similar species.,,,
333,"Psittacidae, Cacatuidae, Tsittaculidae",White-winged Parakeet,Brotogeris versicolurus,8.75,Similar to Yellow-chevroned but mellower.,,,
333,"Psittacidae, Cacatuidae, Tsittaculidae",White-eyed Parakeet,Psittacara leucophthalmus,13.5,Similar to Mitred Parakeet.,,,
333,"Psittacidae, Cacatuidae, Tsittaculidae",Yellow-chevroned Parakeet,Brotogeris chiriri,8.75,"A rather high, scratchy ""krere-krere"".",,,
333,"Psittacidae, Cacatuidae, Tsittaculidae",Thick-billed Parrot,Rhynchopsitta pachyrhyncha,15,"All calls talky, clear, not grating; may recall flock of Snow Geese.",talky,,
334,"Psittacidae, Cacatuidae, Tsittaculidae",Red-crowned Parrot,Amazona viridigenalis,12,"Common call a high squeal ""weeeoo"" followed by harsh, pounding ""daak daak daak daak"".",,,
334,"Psittacidae, Cacatuidae, Tsittaculidae",Yellow-headed Parrot,Amazona oratrix,14,"Generally mellow and human-voiced ""herra"" or long, descending ""yadadadadada"".",human-voiced,,
334,"Psittacidae, Cacatuidae, Tsittaculidae",Lilac-crowned Parrot,Amazona finschi,12.5,Similar to Red-crowned.,,,
334,"Psittacidae, Cacatuidae, Tsittaculidae",White-fronted Parrot,Amazona albifrons,9.5,"Varied, includes some high, squeaky notes.",,,
335,"Psittacidae, Cacatuidae, Tsittaculidae",Chestnut-fronted Macaw,Ara severus,18,"Very loud, harsh screeching; sometimes like braying donkey.",,,
338,"Tyrannidae, Tityridae",Greater Pewee,Contopus pertinax,8,"Song a lazy, clear whistle ""soo saay sooweeoo"" or (""José Maria"") usually introduced by several gentle ""hoo didip"" phrases; that phrase often repeated without song. Call a soft, low ""pip"" or ""pip-pip-pip""; higher, softer, and slower than Olive-sided.",,,
338,"Tyrannidae, Tityridae",Olive-sided Flycatcher,Contopus cooperi,7.5,"Song a sharp, penetrating whistle ""whip WEEDEEER"" or ""quick, three beers"" (Pacific birds sing subtly different ""what peeves yoou"" with equal emphasis on all syllables). Call a low, hard ""pep pep pep"" with variations from soft, rapid ""piw-piw-piw"" to harder ""pew, pew"" to single note ""pep"" or ""quip"".",,,
339,"Tyrannidae, Tityridae",Western Wood-Pewee,Contopus sordidulus,6.25,"Song a burry, nasal whistle ""DREE-yurr"" or ""breerrr"" or ""brreeee"" with distinctive rough quality. Also gives a variety of clear, whistled phrases virtually identical to Eastern; a thin, clear ""peee-didip"" or ""pee-ee"" or ""peeaa"". Call a flat, dry ""plit""; varied sputtering notes in aggression.",,,
339,"Tyrannidae, Tityridae",Eastern Wood-Pewee,Contopus virens,6.25,"Song plaintive, slurred, high, clear whistles ""PEEaweee"" and ""peeyoooo""; also short, upslurred ""pawee"" (given by migrants), downslurred ""peeaaa"", and others. Dawn song alternates regular song phrases with ""peee-didip"". Call a flat, dry chip ""plit""; sputtering notes in aggression.",,,
340,"Tyrannidae, Tityridae",Cuban Pewee,Contopus caribaeus,6.3,"Very high, clear whistles ""twee-teeh-teeh"" which may be somewhat reminiscent of the flight call of Solitary Sandpiper, and other short weak notes equally high and weak; also a long drawn-out, descending ""tweeeeeeer"".",,,
340,"Tyrannidae, Tityridae",Tufted Flycatcher,Mitrephanes phaeocercus,4.8,"Call an emphatic, high, rising ""churrree churrree"" sometimes single or tripled; a rough and sputtering buzz at beginning then clear and high at end; also a ""bik"" call similar to Hammond's Flycatcher, and a high clear penetrating ""tseeew"" repeated every few seconds in breeding season.",,,
342,"Tyrannidae, Tityridae",Pacific-slope Flycatcher,Empidonax difficilis,5.5,"Song higher-pitched and thinner than other Empidonax. Three phrases repeated in sequence: a high, sharp ""tsip""; a thin, high, slurred ""klseewii""; and an explosive ""ptik"". Female call a very high, short ""tseet"". Male position note a very high, thin whistle; Mainland gives a slurred ""tseeweep"". Channel islands a rising ""tsweep"". Juvenile call a husky squeak ""wiveet"".",,,
342,"Tyrannidae, Tityridae",Cordilleran Flycatcher,Empidonax occidentalis,5.5,"Barely differs from Pacific-slope. In song, ""ptik"" note has first syllable higher than second (reverse of Pacific-slope). Male position note variable; usually a two-part ""tee-seet"", but other birds give rising ""tsweep"" or slurred ""tseeweep"" like Pacific Slope. Other calls very similar.",,,
343,"Tyrannidae, Tityridae",Yellow-bellied Flycatcher,Emipdonax flaviventris,5.5,"Song a hoarse ""chebunk' or ""cheberk"" very similar to Least Flycatcher but lower, buzzier, softer, without strong emphasis. Call a short, clear, rising histle ""tuwee"" reminiscent of wood-pewees. Also shorter versions ""wee"" or ""pee""; a sharp, descending ""pyew"" (given by migrants); somewhat plaintive, long ""peehk""; a sharp monotone ""wsee"".",,,
343,"Tyrannidae, Tityridae",Acadian Flycatcher,Empidonax virescens,5.75,"Song an explosive, loud, high, rising ""spit-a-KEET""; recalls some phrases of Red-eyed Vireo but always more explosive. Call a loud, flat ""peek"" and strong, squeaky ""pweest""; sharper and higher than other Empidonax flycatchers. Common call on nesting grounds a relatively long, low ""wheeeew""; also a slow, whistled ""pwipwipwipwipwipwipwi"".",,,
344,"Tyrannidae, Tityridae",Willow Flycatcher,Empidonax traillii,5.75,"Song a harsh, burry ""RITZbew"" or ""RRRITZbeyew"" or ""rrrEEP-yew"", often alternating among these variations: sometimes merely a strong ""rrrrrIP"", rough and low with emphatic rising ending (similar calls of Alder are not sharply rising); also ""zweeoo"", ""churr"", and ""churr-weeoo"", suggesting Alder. Call a thick, liquid ""whit"" unlike Alder; averages lower and fuller-sounding than similar calls of other Empidonax.",,,
345,"Tyrannidae, Tityridae",Alder Flycatcher,Empidonax alnorum,5.75,"Song a harsh, burry ""rreeBEEa""; sometimes merely an acending ""rrreep"" or ""rrreeea"" similar to Willow but not as sharp or rising. Also low, clear, whistled ""pew"" and ""peewi"". Call a flat ""pip"" reminiscent of single note of Olive-sided, unlike the ""whit"" of Willow and other Empidonax.",,,
345,"Tyrannidae, Tityridae",Least Flycatcher,Empidonax minimus,5.25,"Song an emphatic, dry ""CHEbek"" or ""cheBIK"" repeated rapidly. Call a sharp, dry ""pwit"" or ""pit""; shorter, drier, and sharper than Willow. Also gives high ""wees wees wees…"" interspersed with ""pit"" notes.",,,
346,"Tyrannidae, Tityridae",Hammond's Flycatcher,Empidonax hammondii,5.5,"Song of three phrases (usually in this sequence): ""tsi-pik"" suggesting Least; ""swi-vrk"" high then scratchy; ""grr-vik"" lower and rougher than any phrase of Dusky; never includes high, clear notes. Call a sharp ""peek""; sharper and higher than Alder. Also a low, whistled 'weew"".",,,
346,"Tyrannidae, Tityridae",Dusky Flycatcher,Empidonax oberholseri,5.75,"Song of three phrases (usually in this sequence): a short, high, quick ""sibip""; a rough, nasal ""quwerrrp""; a clear, high ""psuweet"" similar to Pacific-slope Flycatcher position note. Call a soft, dry ""whit"" or fuller ""twip"" similar to Willow, Least, and Gray. Male call a soft, plaintive whistle ""deew"" or ""dew-hidi"" repeated at regular intervals.",,,
347,"Tyrannidae, Tityridae",Gray Flycatcher,Empidonax wrightii,6,"Song of two phrases: mostly a rough, emphatic ""jr-vrip"" (or similar rough ""jhrrr"") with a high, whistled ""tidoo"" interspersed; the two phrases are so different they seem unrelated. Also gives abrupt ""chivip"" and low, whistled ""weew"". Common call a sharp, dry ""whit"" similar to Dusky, Least, and Willow Flycatchers.",,,
347,"Tyrannidae, Tityridae",Buff-breasted Flycatcher,Empidonax fulvifrons,5,"Song of two similar phrases: sharp and musical, often alternating ""Pidew, piDEW Pidew, piDEW…""; also gives rolling ""prrrew"" or ""pijrr"". Common call a hard, dry ""pit"" sharper and higher than the ""whit"" calls of other Empidonax.",,,
348,"Tyrannidae, Tityridae",Black Phoebe,Sayornis nigricans,7,"Song of two high, thin, whistled phrases usually alternated ""sisee, sitsew, sisee, sitsew…""; also gives high, thin, whistled ""tseew"" year-round. Common call a simple, high, clear chip like Eastern but flatter and more whistled.",,,
348,"Tyrannidae, Tityridae",Eastern Phoebe,Sayornis phoebe,7,"Song of two rough, whistled phrases usually alternated ""seeriddip, seebrrr, seeeriddip, seebrrr…""; also gives clear, whistled ""weew"" or ""tiboo"" and abrupt ""wijik"" year-round. Common call a distinctive simple ""chip"": high, clear, and descending (sharper than Black).",,,
349,"Tyrannidae, Tityridae",Say's Phoebe,Sayornis saya,7.5,"Song of two relatively low, whistled phrases, usually alternated ""pidiweew, pidireep, pidiweew, pidireep…"". Common call a low, plaintive, clear whistle ""pdeeer"" or ""tueeee"".",,,
349,"Tyrannidae, Tityridae",Vermilion Flycatcher,Pyrocephalus rubinus,6,"Song of high, sharp, flat notes and a higher, rolling trill, falling at end ""pit pit pit pidddrrrreedrr""; given from prominent perch or in flopping song flight with breast expanded. Common call a high, sharp ""pees"".",,,
350,"Tyrannidae, Tityridae",Dusky-capped Flycatcher,Myiarchus tuberculifer,7.25,"Song ""idi pew pew pedrrrrrrrrr"" with long trill or an impatient, rhythmic ""pididi-peeeeeer"" or ""I'm over here""; higher-pitched than other Myiarchus. Call prolonged, soft whistles: a melancholy ""hweeeeeew"" or ""pwE-Deeeeeeeeew"". Also a sharp ""whit"" like other Myiarchus flycatchers and a rapid, complaining ""reedr treerdr teeer teer"".",,,
350,"Tyrannidae, Tityridae",Ash-throated Flycatcher,Myiarchus cinerascens,8.5,"Song a series of repeated phrases ""kibrr, kibrr…"", or short, musical ""kaBRIK"". All calls have low, flat quality; mostly short, abrupt, two-syllable phrases; always higher-pitched and lighter than Brown-crested; never raucous level notes. Common call a sharp ""bik""; also ""kibrrnk-brr"". In fall and winter simply a soft ""prrt"".",,,
351,"Tyrannidae, Tityridae",Brown-crested Flycatcher,Myiarchus tyrannulus,8.75,"Song of low, rolling, alternating phrases ""prEErrr-prdrdrrr, wrrp-didider…"" lower than Ash-throated; low ""trrrp"", strong ""kreep"" less rough and more nasal than Great Crested. Loud, raucous, descending ""keeerp"" often in series (e.g., ""keeerp keeerp keeerp breeek brit brit bik...""). Low, strong, liquid ""whip"" often followed by a rolling ""brrrg"".",,,
351,"Tyrannidae, Tityridae",Great Crested Flycatcher,Myiarchus crinitus,8.75,"Song of alternating phrases ""quitta, queeto, quitta…"". Distinctive call a strong, clear, rising ""wheeeep"" or ""queEEEEP"". Other calls include a very rough, level ""KRREEEP""; lower, softer ""krrrriip""; low, sharp, dry ""kwip""; all often combined into excited series, e.g., ""KRREEEP, KRREEP, kwip-kwip-kwip-kwip-kwip-kwip kweep kweep, krrriip"".",,,
352,"Tyrannidae, Tityridae",Nutting's Flycatcher,Myiarchus nuttingi,8,"Generally clearer and sharper than Ash-throated, most distinctive is a clear rising whistle ""weeep"".",,,
352,"Tyrannidae, Tityridae",La Sagra's Flycatcher,Myiarchus sagrae,7.25,"Call a high, rising, clear, whistle ""weeeK"" or ""weeeit"" like high-pitched Great Crested; a series becoming lower and rougher ""weeek weeep kreeep kreep krip""; a clear ""whidip""and sharp, buzzy ""keee"" or ""keew"". Also ""weep wida-weer"" like Dusky-capped but higher and more rapid.",,,
353,"Tyrannidae, Tityridae",Scissor-tailed Flycatcher,Tyrannus forficatus,10,"Song lower-pitched and flatter than Western Kingbird, with slightly different pattern ""pidik pek pik pik pidEEK"". Dawn song ""pup pup pup pup pup perek"". Common call a relatively low, flat ""pik""; lower than Western Kingbird. Also ""pik-prrr"" or ""kopik"" or higher, sharper ""kid"".",,,
353,"Tyrannidae, Tityridae",Fork-tailed Flycatcher,Tyrannus savana,10,"Rarely heard in North America. Call of very high, hard chips and twittering, staccato, and hummingbird-like ""ik tik krkkr…"".",,,
354,"Tyrannidae, Tityridae",Thick-billed Kingbird,Tyrannus crassirostris,9.5,"Call a guzzy or dry, metallic ""tweeeerrr"" or ""to to to zweeerrr"". Also a dry, clicking ""ket ket-ket ket…"" or a buzzy, nasal ""kotoREEEF"", sharply ascending, squealed, burry, with emphatic questioning end.",,,
354,"Tyrannidae, Tityridae",Loggerhead Kingbird,Tyrannus caudiasciatus,9,"Call a sharp single note ""kip"", similar to some other kingbirds; a squeaky, sputtering rattle ""squeer"" slightly descending, often combined with low ""put"" notes in series ""squeer-pu-pu-pu-squeer"".",,,
355,"Tyrannidae, Tityridae",Gray Kingbird,Tyrannus dominicensis,9,"Common call a high, sharp, twittering chitter ""tik-teeerr"" or ""preeerr-krrr""; similar to Tropical Kingbird but fuller and rougher.",,,
355,"Tyrannidae, Tityridae",Eastern Kingbird,Tyrannus tyrannus,8.5,"Song of sharp, electric, rasping or sputtering notes in series ending with emphatic, descending buzz ""kdik kdik kdik PIKa PIK PIKa kzeeeer""; elements often given separately. Most freqently heard call a sharp, buzzy ""kzeer"". Dawn song a high, rapid, electric rattling building to crescendo ""kiu kitttttttttttttiu ditide"".",,,
356,"Tyrannidae, Tityridae",Tropical Kingbird,Tyrannus melancholicus,9.25,"Song has sharp, metallic quality; rapid, rising, tinkling ""tr tr twididid twididid twididi"". Common call a high, sputtering twitter of sharp, metallic notes ""twitrrr"" or ""tzitzitzitzi""; never a single note like Couch's.",,,
356,"Tyrannidae, Tityridae",Couch's Kingbird,Tyrannus couchii,9.25,"Song of high, thin, nasal squeals ""towi towi toWITItoo"" or ""gwit gewit geWEETyo"". Dawn song a series of long, slow phraess ""pleerrr pleerrr pleerrr plity plity plity plity chew"". Common call a high, sharp ""dik"" (like Western) and an insect-like trailing buzz ""kweeeerz"" or ""dik dik dikweeeerz`'; also a sharp, dry ""ch-eek"".",,,
357,"Tyrannidae, Tityridae",Cassin's Kingbird,Tyrannus vociferans,9,"Song of clear, nasal notes and hoarse ""churr"" notes rising to crescndo ""teew, teew, teew tewdi tidadidew"". Call a husky ""CHI-Vrrrr"". Also clearer, nasal ""keew"" notes in series; rough, burry, descending ""ch-queeer""; and nasal ""gdeerr-gdeerr…"" in rapid series of up to ten notes, lower and more nasal than Western.",,,
357,"Tyrannidae, Tityridae",Western Kingbird,Tyrannus verticalis,8.75,"Song high, hard, squeaky ""pidik pik pidik PEEKdo"". Calls lower-pitched than Eastern ; higher and clearer than Cassin's. Calls include a rapid, rising series of shrill, sputtering notes ""widik pik widi pik pik pik""; very hard, sharp ""kit"" often in accelerating rising series or long, sputtering series; also a lower series ""kdew kdew kdew kdew"".",,,
358,"Tyrannidae, Tityridae",Piratic Flycatcher,Legatus leucophaius,5.8,Vagrants are generally silent.,,,
358,"Tyrannidae, Tityridae",Variegated Flycatcher,Empidonomus varius,7.1,Vagrants are generally silent.,,,
359,"Tyrannidae, Tityridae",Sulphur-bellied Flycatcher,Myiodynastes luteiventris,8.5,"Common calls high, squeaky, whistled phrases, penetrating squeaks like a child's toy ""tooWI drrip"" or ""wee-dee-yoo""; a forceful ""seedeeyee"";a lower, nasal ""kweeda kweeda…""; a rather low, hollow, nasal ""ket"" often in series, suddenly exploding into loud, high squealing.",,,
359,"Tyrannidae, Tityridae",Great Kiskadee,Pitangus sulphuratus,9.75,"Song a raucous, high, repeated ""KREEtaperr"" (""kiskadee"" or ""Christopher""); often repeated in chorus with several individuals. All calls loud, clear, raucous, repeated; most common a rather long, level squeal ""weee""; also a high, rough ""grrt"".",,,
360,"Tyrannidae, Tityridae",Northern Beardless-Tyrannulet,Camptostoma imberbe,4.5,"Song lazy, clear, piping whistles in descending series usually introduced by short, rising series ""piti pi pi PEEE dee dee"" or slow series ""peeh peeeh peeh peeh peeh peeh peeh"" gradually descending. Common call a clear, piping ""peeehk""; also a cescending ""peeewk"" and a chuckling ""pikikhik"". ",,,
360,"Tyrannidae, Tityridae",White-crested Elaenia,Elaenia albiceps,5.7,"Call a relatively low clear whistle ""wheew"", lower and more relaxed than any North American Empidonax call.",,,
361,"Tyrannidae, Tityridae",Rose-throated Becard,Pachyamphus aglaiae,7.25,"Common call a very high, thin whistle ""sweetsoo"" or ""seeelee"". Also a high, squeaky, nasal chatter often ending with thin, descending note ""kit-iddleit-ti-ti-teew'; a very high, ringing ""tzeeeeew"".",,,
362,Laniidae,Brown Shrike,Lanius cristatus,7.3,Generally silent in winter.,,,
363,Laniidae,Loggerhead Shrike,Lanius ludovicianus,9,"Song generally sharp, precise, mechanical two-syllable phrases ""krrDI"" or ""JEEuk"" (etc.) with the phrase oten repeated over and over at short intervals. Calls include a harsh, scolding ""jaaa"" grating ""teeen raad raad raad raad raad"", and other variations similar to song phrases.",,,
363,Laniidae,Northern Shrike,Lanius excubitor,10,"Song of repeated short phrases like Loggerhead, but lower-pitched with mellower, more liquid quality ""kdidi"" or ""plidplid"". Can sound soft and thrasher-like. Calls include a very nasal, complaining ""fay fay…"", a harsher ""reed reed reed…"", and a very harsh, dry ""shraaaa"".",,,
365,Vireonidae,Bell's Vireo,Vireo bellii,4.75,"Song husky, chatty, musical ""chewede jechewide cheele jeeew""; slight emphasis on ending but basically flat; variations in details, but quality distinctive. Call fairly high, soft, nasal ""biiv biiv…"" or ""chee chee"". Similar call also given singly: nasal, rising ""mreee"" repeated.",,,
366,Vireonidae,Gray Vireo,Vireo vicinior,5.5,"Song very similar to Plumbeous but phrases average shorter, simpler, delivered more rapidly (average one phrase every 1.5 sec); less varied ""tiree pwideer dew tiree pwideer dew…"". Call a low, harsh ""charrr"" similar to Bewick's Wren; also a short, harsh ""chik"", a rapid series of popping whistles, and a harsh descending series.",,,
